t,H,observed_EL,theory_EL
0.0,512,122.95842438907246,122.9568
0.015,512,122.66140235267495,122.6596600720463
0.03,512,122.3477894197898,122.34591997296148
0.045,512,122.0167671316666,122.01476046054
0.06,512,121.66748943964643,121.66533463493421
0.075,512,121.29908333432542,121.29676856240164
0.09,512,120.91064971160506,120.90816213563446
0.105,512,120.50126450017487,120.49859019522596
0.12,512,120.06998007568552,120.06710393754828
0.135,512,119.61582698731735,119.61273263477028
0.15,512,119.13781602256577,119.1344856928698
0.16499999999999998,512,118.63494063578807,118.63135507322822
0.18,512,118.10617976531302,118.10231810266379
0.195,512,117.55050106263354,117.54634069549299
0.21,512,116.96686455530958,116.9623810093305
0.22499999999999998,512,116.35422676262692,116.34939355377459
0.24,512,115.71154527972189,115.70633376780663
0.255,512,115.0377838417237,115.03216307759561
0.27,512,114.3319178744356,114.32585444138952
0.285,512,113.59294053213114,113.5863983822533
0.3,512,112.81986921616425,112.81280950255935
0.315,512,112.01175256028318,112.00413346635413
0.32999999999999996,512,111.16767785983026,111.15945442704168
0.345,512,110.28677891246662,110.27790286831458
0.36,512,109.36824422778412,109.35866381602841
0.375,512,108.41132555230027,108.40098536792446
0.39,512,107.41534664505768,107.40418747700748
0.40499999999999997,512,106.37971222760324,106.36767091338463
0.42,512,105.30391702077152,105.29092631922737
0.435,512,104.18755476976025,104.17354326384653
0.44999999999999996,512,103.0303271488082,103.01521889240234
0.46499999999999997,512,101.83205242774542,101.81576739554158
0.48,512,100.59267377517105,100.57512742405446
0.495,512,99.31226706741609,99.29337044426293
0.51,512,97.99104806914966,97.97070785045943
0.525,512,96.62937885082613,96.60749742941545
0.54,512,95.22777331044854,95.20424893486037
0.5549999999999999,512,93.78690167255986,93.76162864483237
0.57,512,92.30759384610712,92.2804627834202
0.585,512,90.79084153488601,90.76173970033821
0.6,512,89.23779900958218,89.20661071693414
0.615,512,87.64978246877193,87.61638956540594
0.63,512,86.02826793729992,85.99255036887851
0.645,512,84.37488767375832,84.3367241331085
0.6599999999999999,512,82.69142508379073,82.65069374539263
0.6749999999999999,512,80.97980816197712,80.93638750209668
0.69,512,79.24210151140252,79.19587121238628
0.705,512,77.48049701590492,77.43133895146954
0.72,512,75.69730326466875,75.64510256118947
0.735,512,73.89493385152963,73.83958001839466
0.75,512,72.07589469139924,72.0172828114901
0.765,512,70.2427705130054,70.1808024823342
0.78,512,68.39821070019057,68.33279650372623
0.7949999999999999,512,66.54491466297671,66.47597367178294
0.8099999999999999,512,64.68561692428791,64.61307919733696
0.825,512,62.82307210858595,62.74687968106666
0.84,512,60.96004001483021,60.88014815349746
0.855,512,59.09927094837741,59.01564935355293
0.87,512,57.24349147507316,57.156125408355635
0.885,512,55.39539074634307,55.30428206296456
0.8999999999999999,512,53.55760752713364,53.4627755922441
0.9149999999999999,512,51.73271803970052,51.634200508695
0.9299999999999999,512,49.923224716136545,49.82107816047342
0.945,512,48.1315459318113,48.02584629359437
0.96,512,46.360006771168514,46.250849632066306
0.975,512,44.61083085715795,44.498331509971536
0.99,512,42.88613325646127,42.7704265707751
1.005,512,41.187914455023844,41.06915453181942
1.02,512,39.518055382561386,39.39641499635708
1.035,512,37.878313450917716,37.7539832818328
1.05,512,36.270319559567255,36.14350722158804
1.065,512,34.69557601226047,34.56650488781037
1.08,512,33.155455281804734,33.02436317637323
1.095,512,31.65119955518979,31.51833718915546
1.1099999999999999,512,30.183920988586312,30.04955034636805
1.125,512,28.754602600995973,28.618995160199844
1.14,512,27.364099736308717,27.22753460152326
1.155,512,26.013142025993833,25.875903993266817
1.17,512,24.702335788369258,24.564713367140257
1.185,512,23.43216680510084,23.294450224447047
1.2,512,22.203003421023745,22.06548264651967
1.2149999999999999,512,21.01509991930174,20.87806270562767
1.23,512,19.868600130108433,19.732330132831663
1.2449999999999999,512,18.76354123720636,18.628316204980038
1.26,512,17.699857752814648,17.565947818691342
1.275,512,16.67738563681643,16.545051724562995
1.29,512,15.695866541512586,15.56535889985524
1.305,512,14.754952167653961,14.626509042391575
1.3199999999999998,512,13.854208721285206,13.728055172291533
1.335,512,12.993121463942375,12.869468331333039
1.3499999999999999,512,12.171099350925093,12.050142372171095
1.365,512,11.387479753702287,11.269398831287688
1.38,512,10.64153326302435,10.526491880414454
1.395,512,9.932468569047174,9.820613351264129
1.41,512,9.259437413789332,9.150897827780028
1.425,512,8.621539609631466,8.516427798832012
1.44,512,8.017828115430799,7.916238862433147
1.4549999999999998,512,7.447314159285968,7.3493249702445524
1.47,512,6.908972394179229,6.8146436984882826
1.4849999999999999,512,6.401746069785367,6.3111215285494495
1.5,512,5.924552200811047,5.837659117654084
1.515,512,5.476286709456156,5.393136537215398
1.53,512,5.055829517103252,4.976418453885884
1.545,512,4.662049558265085,4.5863592261807895
1.56,512,4.29380968825912,4.221807887861871
1.575,512,3.9499714551181215,3.881612988202704
1.5899999999999999,512,3.62939970594954,3.5646272588628136
1.605,512,3.3309669983604833,3.2697120774400474
1.6199999999999999,512,3.0535577886789858,2.9957416988583105
1.635,512,2.79607237050836,2.741607227574619
1.65,512,2.557430539606271,2.506220306112681
1.665,512,2.3365749641155826,2.2885164985820836
1.68,512,2.1324742427025303,2.087458351522855
1.6949999999999998,512,1.9441256370741695,1.9020381185226114
1.71,512,1.7705574695358344,1.7312801394504191
1.7249999999999999,512,1.6108311805877418,1.574242869707163
1.74,512,1.464043045924643,1.4300205594768443
1.755,512,1.329325556474248,1.2977445874337121
